obj_name,type,status,role_in_play,modern_location_eng,modern_location_rus,historic_location_eng,historic_location_rus,relative_location,location_exists_today,play,act,quote,plot_notes,hist_notes,geo_notes,lat,lng,sources,pop_up
Odessa,city,real,mentioned,Odessa,Одесса,Odessa,Одесса,many day's journey from story setting,yes,The Seagull,Act I,"Act I
Treplyov:...[talking about his mother] And she's a tightwad. She's got seventy thousand in a bank in Odessa - I know it for a fact. But ask her for a loan and she'll go into hysterics.

(Треплев: ...Она скупа. У нее в Одессе в банке семьдесят тысяч — это я знаю наверное. А попроси у нее взаймы, она станет плакать.)","Act I
Treplyov is discussing his mother with Sorin prior to the start of his play.",Odessa was a cosmopolitan  port city and trade hub located in modern-day Ukraine. ,,46.2986,30.44364,,"Notes:
Odessa was a cosmopolitan  port city and trade hub located in modern-day Ukraine. 

From the Play:
Act I
Treplyov:...[talking about his mother] And she's a tightwad. She's got seventy thousand in a bank in Odessa - I know it for a fact. But ask her for a loan and she'll go into hysterics.

(Треплев: ...Она скупа. У нее в Одессе в банке семьдесят тысяч — это я знаю наверное. А попроси у нее взаймы, она станет плакать.)"
The Eiffel Tower,landmark,real,mentioned,Paris,Парис,Paris,Парис,abroad,yes,The Seagull,Act I,"Act I
Treplyov:...[talking about the type of theater his mother prefers] when in a thousand different ways they serve up the same old leftovers, again, and again and again - I run out the exit and keep on running, the way Mauspassant ran from the Eiffel Tower because it was crushing his brain beneath its tawdy vulgarity.

(Треплев: ...Когда в тысяче вариаций мне подносят всё одно и то же, одно и то же, одно и то же, — то я бегу и бегу, как Мопассан бежал от Эйфелевой башни, которая давила ему мозг своею пошлостью.)","Act I
Treplyov is criticizing what he believes to be the triteness of modern theater prior to the start of his play.","""The famous landmark, the Eiffel Tower, was erected by Gustave Eiffel in 1889 for the Paris Exposition and at 300 meters, was the highest of the time. It was controversial, many persons of taste considering it an eyesore. Maupassant detested it as a symbol of materialism and modern vulgarity...."" (Norton, 139).",,48.8584,2.2945,,"Notes:
""The famous landmark, the Eiffel Tower, was erected by Gustave Eiffel in 1889 for the Paris Exposition and at 300 meters, was the highest of the time. It was controversial, many persons of taste considering it an eyesore. Maupassant detested it as a symbol of materialism and modern vulgarity...."" (Norton, 139).

From the Play:
Act I
Treplyov:...[talking about the type of theater his mother prefers] when in a thousand different ways they serve up the same old leftovers, again, and again and again - I run out the exit and keep on running, the way Mauspassant ran from the Eiffel Tower because it was crushing his brain beneath its tawdy vulgarity.

(Треплев: ...Когда в тысяче вариаций мне подносят всё одно и то же, одно и то же, одно и то же, — то я бегу и бегу, как Мопассан бежал от Эйфелевой башни, которая давила ему мозг своею пошлостью.)"
Kiev,city,real,mentioned,Kiev,Киев,Kiev,Киев,many day's journey from story setting,yes,The Seagull,"Act I, Act III","Act I
Treplyov: ...According to my passport I'm a bourgeois from Kiev. My father actually was a bourgeois from Kiev, but he was also a famous actor...

(Треплев: ...по паспорту я — киевский мещанин. Мой отец ведь киевский мещанин, хотя тоже был известным актером.)

Act III
Arkadina: I have never acted in that kind of play. Leave me out of it! You haven't got what it takes to write a miserable vaudeville sketch. You bourgeois from Kiev! You panhandler!

(Аркадина: Никогда я не играла в таких пьесах. Оставь меня! Ты и жалкого водевиля написать не в состоянии. Киевский мещанин! Приживал!)","Act I
Treplyov is describing the discomfort he feels at being the son of a famous actress prior to the start of his play.

Act III
Arkadina and Treplyov spar over Trigorin's writing. Treplyov and Arkadina insult each other's talent and crafts.",,,50.4501,30.5234,,"From the Play:
Act I
Treplyov: ...According to my passport I'm a bourgeois from Kiev. My father actually was a bourgeois from Kiev, but he was also a famous actor...

(Треплев: ...по паспорту я — киевский мещанин. Мой отец ведь киевский мещанин, хотя тоже был известным актером.)

Act III
Arkadina: I have never acted in that kind of play. Leave me out of it! You haven't got what it takes to write a miserable vaudeville sketch. You bourgeois from Kiev! You panhandler!

(Аркадина: Никогда я не играла в таких пьесах. Оставь меня! Ты и жалкого водевиля написать не в состоянии. Киевский мещанин! Приживал!)"
Poltova,city,real,mentioned,Poltova,Полтава,Poltova,Полтава,many day's journey from story setting,yes,The Seagull,Act I,"Act I
Shamraev: At the Poltava fair in 1873 she gave a marvelous performance.

(Шамраев: В 1873 году в Полтаве на ярмарке она играла изумительно.)","Act I
The play is about to begin. Sorin, Arkadina, Trigorin, Shamraev, Medvedenko, and Masha are taking their seats. Shamraev is praising one of Arkadina's past performances.",,"""Capital of the gubernia of the same name, located in Ukraine; its main industries were horse trading, salughterhouses, and machinery manufacture. Its population was largely Little Russians and Jews. Acting companies proliferated in such towns during the fairs"" (Norton).",49.5883,34.5514,,"Notes:
""Capital of the gubernia of the same name, located in Ukraine; its main industries were horse trading, salughterhouses, and machinery manufacture. Its population was largely Little Russians and Jews. Acting companies proliferated in such towns during the fairs"" (Norton).

From the Play:
Act I
Shamraev: At the Poltava fair in 1873 she gave a marvelous performance.

(Шамраев: В 1873 году в Полтаве на ярмарке она играла изумительно.)"
The Moscow Opera House,landmark,real,mentioned,Moscow,Москва,Moscow,Москва,many day's journey from story setting,yes,The Seagull,Act I,"Act I
Shamraev: I remember at the Moscow Opera House once the famous Silva hit a low C.

(Шамраев: Помню, в Москве в оперном театре однажды знаменитый Сильва взял нижнее до.)","Act I
The group discusses the play and theater in general after Treplyov's play.",,Shamraev may be referring to the what is today the Bolshoi Theater.,55.760082,37.618668,,"Notes:Shamraev may be referring to the what is today the Bolshoi Theater.

From the Play:
Act I
Shamraev: I remember at the Moscow Opera House once the famous Silva hit a low C.

(Шамраев: Помню, в Москве в оперном театре однажды знаменитый Сильва взял нижнее до.)"
Russia,country,real,mentioned,Russia,Россия,The Russian Empire,Российская Империя,story takes place in Russia,yes,The Seagull,"Act II, Act III","Act II
Arkadina: ...Well, that may be what the French do, but there's nothing of the sort in our country; we have no master plan. In Russia, before a woman captivates a writer, she's usually fallen head over heels in love with him herself, take my word for it...

(Аркадина: ...Ну, это у французов, может быть, но у нас ничего подобного, никаких программ. У нас женщина обыкновенно, прежде чем заполонить писателя, сама уже влюблена по уши, сделайте милость...)

Act III
Arkadina: [to Trigorin] ...You're all mine. You're so talented, clever, our greatest living writer, you're Russia's only hope...

(Аркадина: ...Ты весь мой. Ты такой талантливый, умный, лучший из всех теперешних писателей, ты единственная надежда России...)","Act II
Arkadina is commenting on a passage from Sur l'eau - Guy de Maupassant's diary of a Mediterranean cruise: ""So, when a woman has picked out the writer she wishes to captivate, she lays siege to him by means of compliments, andearments, and flattering attentions...""

Act III
Arkadina begs Trigorin not to leave her after he admits he is attracted to Nina.",,,61.524,105.3188,,"From the Play:
Act II
Arkadina: ...Well, that may be what the French do, but there's nothing of the sort in our country; we have no master plan. In Russia, before a woman captivates a writer, she's usually fallen head over heels in love with him herself, take my word for it...

(Аркадина: ...Ну, это у французов, может быть, но у нас ничего подобного, никаких программ. У нас женщина обыкновенно, прежде чем заполонить писателя, сама уже влюблена по уши, сделайте милость...)

Act III
Arkadina: [to Trigorin] ...You're all mine. You're so talented, clever, our greatest living writer, you're Russia's only hope...

(Аркадина: ...Ты весь мой. Ты такой талантливый, умный, лучший из всех теперешних писателей, ты единственная надежда России...)"
Moscow,city,real,mentioned,Moscow,Москва,Moscow,Москва,many day's journey from story setting,yes,The Seagull,"Act II, Act III, Act IV","Act II
Shamraev: Dear lady! You don't know what is means to run a farm!

Arkadina: Here we go again! In that case, I shall leave for Moscow this very day. Have them hire horses for me in town, or else I'll go to the station on foot!

(Шамраев: Многоуважаемая! Вы не знаете, что значит хозяйство!

Аркадина: Это старая история! В таком случае я сегодня же уезжаю в Москву. Прикажите нанять для меня лошадей в деревне, а то я уйду на станцию пешком!)

Act III
Nina: I felt we would meet again. Boris Alekseevich, I've made up my mind once and for all, the die is cast, I'm going on the stage. Tomorrow I'll be gone, I'm leaving my father, abandoning everything, starting a new life... I'm travelling, like you to Moscow, We shall meet there.

Trigorin: Stay at the ""Slav Bazaar"" Hotel... Let me know the minute you're there...Molchanovka Street, the Grokholsky Apartments...I'm in a hurry...

(Нина: Я чувствовала, что мы еще увидимся. (Возбужденно.) Борис Алексеевич, я решила бесповоротно, жребий брошен, я поступаю на сцену. Завтра меня уже не будет здесь, я ухожу от отца, покидаю все, начинаю новую жизнь... Я уезжаю, как и вы... в Москву. Мы увидимся там.

Тригорин (оглянувшись): Остановитесь в «Славянском Базаре»... Дайте мне тотчас же знать... Молчановка, дом Грохольского... Я тороплюсь...)

Act IV
Trigorin: [to Treplyov] Your fans send you their best wishes. In Petersburg and Moscow, mostly, they're starting to take an interest in you, and they're always asking me about you...

[later]

Treplyov: You staying long?

Trigorin: No tomorrow I think I'll go back to Moscow. Have to, I'm tripping over myself to finish a novella, and after that I've promised to contribute something to an anthology. In short - the same old story.

(Тригорин: Вам шлют поклон ваши почитатели... В Петербурге и в Москве вообще заинтересованы вами, и меня всё спрашивают про вас.

[later]

Треплев: Надолго к нам?

Тригорин: Нет, завтра же думаю в Москву. Надо. Тороплюсь кончить повесть и затем еще обещал дать что-нибудь в сборник. Одним словом — старая история.)","Act II
Shamraev insists that Arkadina cannot go into town; all the horses are engaged in farm work (hauling rye). Arkadina responds by threatening to leave for Moscow.

Act III
Nina and Trigorin meet for the last time before both of their departures. They plan a subsequent rendezvous in Moscow.

Act IV
Trigorin and Arkadina have arrived from the station. Trigorin and Treplyov discuss their work. ",,,55.756008,37.616409,,"From the Play:
Act II
Shamraev: Dear lady! You don't know what is means to run a farm!

Arkadina: Here we go again! In that case, I shall leave for Moscow this very day. Have them hire horses for me in town, or else I'll go to the station on foot!

(Шамраев: Многоуважаемая! Вы не знаете, что значит хозяйство!

Аркадина: Это старая история! В таком случае я сегодня же уезжаю в Москву. Прикажите нанять для меня лошадей в деревне, а то я уйду на станцию пешком!)

Act III
Nina: I felt we would meet again. Boris Alekseevich, I've made up my mind once and for all, the die is cast, I'm going on the stage. Tomorrow I'll be gone, I'm leaving my father, abandoning everything, starting a new life... I'm travelling, like you to Moscow, We shall meet there.

Trigorin: Stay at the ""Slav Bazaar"" Hotel... Let me know the minute you're there...Molchanovka Street, the Grokholsky Apartments...I'm in a hurry...

(Нина: Я чувствовала, что мы еще увидимся. (Возбужденно.) Борис Алексеевич, я решила бесповоротно, жребий брошен, я поступаю на сцену. Завтра меня уже не будет здесь, я ухожу от отца, покидаю все, начинаю новую жизнь... Я уезжаю, как и вы... в Москву. Мы увидимся там.

Тригорин (оглянувшись): Остановитесь в «Славянском Базаре»... Дайте мне тотчас же знать... Молчановка, дом Грохольского... Я тороплюсь...)

Act IV
Trigorin: [to Treplyov] Your fans send you their best wishes. In Petersburg and Moscow, mostly, they're starting to take an interest in you, and they're always asking me about you...

[later]

Treplyov: You staying long?

Trigorin: No tomorrow I think I'll go back to Moscow. Have to, I'm tripping over myself to finish a novella, and after that I've promised to contribute something to an anthology. In short - the same old story.

(Тригорин: Вам шлют поклон ваши почитатели... В Петербурге и в Москве вообще заинтересованы вами, и меня всё спрашивают про вас.

[later]

Треплев: Надолго к нам?

Тригорин: Нет, завтра же думаю в Москву. Надо. Тороплюсь кончить повесть и затем еще обещал дать что-нибудь в сборник. Одним словом — старая история.)"
Abroad,continent,real,mentioned,Europe,Европа,Europe,Европа,abroad,yes,The Seagull,"Act III, Act IV","Act III

Sorin: [To Arkadina] I think it would be best if you...gave him some money. First of all, he ought to be dressed like a human being and all the rest. Just look, he's been wearing the same beat-up old frockcoat for the last three years; he has to go out without a topcoat...Besides it wouldn't hurt the boy to live it up a bit...Go abroad or something...It's not all that expensive.

Arkadina: Even so...Possibly I could manage the suit, but as for going abroad...No, at the moment I can't manage the suit either. I have no money! None!

(Сорин: Мне кажется, было бы самое лучшее, если бы ты... дала ему немного денег. Прежде всего ему нужно одеться по-человечески и все. Посмотри, один и тот же сюртучишко он таскает три года, ходит без пальто... (Смеется.) Да и погулять малому не мешало бы... Поехать за границу, что ли... Это ведь не дорого стоит.

Аркадина: Все-таки... Пожалуй, на костюм я еще могу, но чтоб за границу... Нет, в настоящее время и на костюм не могу. Нет у меня денег!)

Act IV

Dorn: Money? After thirty years of practice, my friend, on call day and night, when I couldn't call my soul my own, all I managed to scrape together two thousand; besides, I blew it all on my recent trip abroad. I haven't a penny.

(Дорн: Денег? За тридцать лет практики, мой друг, беспокойной практики, когда я не принадлежал себе ни днем, ни ночью, мне удалось скопить только две тысячи, да и те я прожил недавно за границей. У меня ничего нет.)","Act III
Prior to her departure, Arkadina consults with Sorin on Treplyov's state.

Act IV 
The group chats in Kostya's work room. Medvedenko and Dorn discuss money. ",,"Abroad often meant Western Europe, and while this point is in Germany, consider the term a reference to a collection of countries, including England, Italy, and France and so on.",51,10,,"Notes:
Abroad often meant Western Europe, and while this point is in Germany, consider the term a reference to a collection of countries, including England, Italy, and France and so on.


From the Play:
Act III

Sorin: [To Arkadina] I think it would be best if you...gave him some money. First of all, he ought to be dressed like a human being and all the rest. Just look, he's been wearing the same beat-up old frockcoat for the last three years; he has to go out without a topcoat...Besides it wouldn't hurt the boy to live it up a bit...Go abroad or something...It's not all that expensive.

Arkadina: Even so...Possibly I could manage the suit, but as for going abroad...No, at the moment I can't manage the suit either. I have no money! None!

(Сорин: Мне кажется, было бы самое лучшее, если бы ты... дала ему немного денег. Прежде всего ему нужно одеться по-человечески и все. Посмотри, один и тот же сюртучишко он таскает три года, ходит без пальто... (Смеется.) Да и погулять малому не мешало бы... Поехать за границу, что ли... Это ведь не дорого стоит.

Аркадина: Все-таки... Пожалуй, на костюм я еще могу, но чтоб за границу... Нет, в настоящее время и на костюм не могу. Нет у меня денег!)

Act IV

Dorn: Money? After thirty years of practice, my friend, on call day and night, when I couldn't call my soul my own, all I managed to scrape together two thousand; besides, I blew it all on my recent trip abroad. I haven't a penny.

(Дорн: Денег? За тридцать лет практики, мой друг, беспокойной практики, когда я не принадлежал себе ни днем, ни ночью, мне удалось скопить только две тысячи, да и те я прожил недавно за границей. У меня ничего нет.)"
The National Theater -- Moscow (Maly),municipal building,real,mentioned,Moscow,Москва,Moscow,Москва,many day's journey from story setting,"under different names (Российский государственный академический театр драмы им. А.С. Пушкина, and figure out what it turned into in Moscow)",The Seagull,Act III,"Act III
Treplyov: ...I remember long, long ago, when you were still working at the National Theater - I was a little boy then - there was a fight in our yard, a washerwoman who lived there got badly beaten up...

(Треплев: ...Помню, очень давно, когда ты еще служила на казенной сцене, — я тогда был маленьким, — у нас во дворе была драка, сильно побили жилицу-прачку. Помнишь? Ее подняли без чувств... )","Act III
Treplyov asks his mother to change his bandage. ",,There two national theaters - one in Moscow and one in Petersburg. It is unclear to which one Treplyov is referring. Both theaters are plotted on this map. ,55.75971,37.62054,,"Notes:
There two national theaters - one in Moscow and one in Petersburg. It is unclear to which one Treplyov is referring. Both theaters are plotted on this map. 

From the Play:
Act III
Treplyov: ...I remember long, long ago, when you were still working at the National Theater - I was a little boy then - there was a fight in our yard, a washerwoman who lived there got badly beaten up...

(Треплев: ...Помню, очень давно, когда ты еще служила на казенной сцене, — я тогда был маленьким, — у нас во дворе была драка, сильно побили жилицу-прачку. Помнишь? Ее подняли без чувств... )"
Elizavetgrad,city,real,mentioned,Kropyvnytskyi,Кропивницкий,"Yelisavetgrad (Elisavetgrad, Elizabethgrad)",Елисаветград,many day's journey from story setting,yes,The Seagull,Act III,"Act III
Shamraev: ...By the way, Irina Nikolaevna, do me a favor, you won't forget to find out what's become of the actor Suzdaltsev these days? Is he alive? Is he well? Many's the drink we downed together once upon a time...In ""The Great Mail Robbery"" his acting was inimitable...I recall he was acting at the time in Elizabetgrad...

(Шамраев: ...Так вы же, Ирина Николаевна, сделайте милость, не забудьте навести справочку: где теперь актер Суздальцев? Жив ли? Здоров ли? Вместе пивали когда-то... В «Ограбленной почте» играл неподражаемо... С ним тогда, помню, в Елисаветграде служил трагик Измайлов, тоже личность замечательная...)","Act III
Shamraev enters to announce that the horses have arrived and it is time for Arkadina to depart. He asks Arkadina to find out what has become of a favorite actor.",,"Elizavetgrad or Yelisavetgrad is located within modern-day Ukraine's Kirovohrad Oblast. From 1865 onward, it was the district center for the Kherson Governate or region (уездный центр Херсонской губернии).",48.3036,32.16,,"Notes:
Elizavetgrad or Yelisavetgrad is located within modern-day Ukraine's Kirovohrad Oblast. From 1865 onward, it was the district center for the Kherson Governate or region (уездный центр Херсонской губернии).

From the Play:
Act III
Shamraev: ...By the way, Irina Nikolaevna, do me a favor, you won't forget to find out what's become of the actor Suzdaltsev these days? Is he alive? Is he well? Many's the drink we downed together once upon a time...In ""The Great Mail Robbery"" his acting was inimitable...I recall he was acting at the time in Elizabetgrad...

(Шамраев: ...Так вы же, Ирина Николаевна, сделайте милость, не забудьте навести справочку: где теперь актер Суздальцев? Жив ли? Здоров ли? Вместе пивали когда-то... В «Ограбленной почте» играл неподражаемо... С ним тогда, помню, в Елисаветграде служил трагик Измайлов, тоже личность замечательная...)"
